iter	Passed	Remaining
0	0	137
1	1	103
2	1	90
3	1	85
4	2	82
5	2	79
6	2	77
7	3	75
8	3	73
9	3	71
10	4	69
11	4	67
12	4	66
13	4	65
14	5	64
15	5	63
16	5	63
17	6	63
18	6	63
19	6	62
20	7	62
21	7	61
22	7	61
23	8	60
24	8	60
25	8	60
26	9	59
27	9	59
28	10	59
29	10	58
30	10	58
31	11	58
32	11	57
33	11	57
34	12	57
35	12	58
36	13	57
37	13	57
38	13	57
39	14	57
40	14	57
41	15	57
42	15	57
43	15	56
44	16	56
45	16	55
46	17	55
47	17	54
48	17	54
49	18	54
50	18	53
51	18	53
52	19	53
53	19	52
54	20	52
55	20	52
56	20	52
57	21	52
58	21	52
59	22	53
60	23	53
61	23	52
62	24	52
63	24	51
64	24	51
65	25	50
66	25	50
67	25	50
68	26	49
69	26	49
70	26	48
71	27	48
72	27	48
73	28	48
74	28	47
75	29	47
76	29	47
77	30	47
78	30	46
79	30	46
80	31	46
81	31	45
82	32	45
83	32	44
84	32	44
85	33	44
86	33	43
87	34	43
88	34	42
89	34	42
90	35	42
91	35	41
92	35	41
93	36	40
94	36	40
95	36	39
96	37	39
97	37	39
98	37	38
99	38	38
100	38	37
101	38	37
102	39	37
103	39	36
104	40	36
105	41	36
106	41	36
107	42	36
108	42	35
109	43	35
110	43	35
111	44	34
112	44	34
113	44	33
114	45	33
115	45	32
116	45	32
117	46	32
118	46	31
119	46	31
120	47	30
121	47	30
122	48	30
123	48	29
124	48	29
125	49	28
126	49	28
127	49	27
128	50	27
129	50	27
130	50	26
131	51	26
132	51	25
133	51	25
134	52	25
135	52	24
136	52	24
137	53	23
138	53	23
139	53	23
140	54	22
141	54	22
142	54	21
143	55	21
144	55	21
145	56	20
146	56	20
147	56	19
148	57	19
149	58	19
150	59	19
151	59	18
152	60	18
153	60	18
154	60	17
155	61	17
156	61	16
157	61	16
158	62	16
159	62	15
160	63	15
161	63	14
162	63	14
163	64	14
164	64	13
165	64	13
166	65	12
167	65	12
168	65	12
169	66	11
170	66	11
171	66	10
172	67	10
173	67	10
174	67	9
175	68	9
176	68	8
177	69	8
178	69	8
179	69	7
180	70	7
181	70	6
182	71	6
183	71	6
184	71	5
185	72	5
186	73	5
187	74	4
188	74	4
189	75	3
190	75	3
191	76	3
192	76	2
193	76	2
194	77	1
195	77	1
196	78	1
197	78	0
198	78	0
199	79	0
